date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:33	81705/81705	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:02%20GMT	https://colorlib.com//polygon/admindek/default/email-inbox.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/email-inbox.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:33	8224/8224	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:39%20GMT	https://colorlib.com//polygon/admindek/default/auth-lock-screen.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/auth-lock-screen.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:33	8341/8341	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:39%20GMT	https://colorlib.com//polygon/admindek/default/auth-sign-in-social.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/auth-sign-in-social.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:34	2703/2703	---M--	200	added ('OK')	image/jpeg	etag:%225b058093-aaf%22	https://colorlib.com//polygon/admindek/files/assets/images/avatar-2.jpg	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/files/assets/images/avatar-2.jpg	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:34	54337/54337	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:48%20GMT	https://colorlib.com//polygon/admindek/default/dashboard-crm.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dashboard-crm.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:34	47909/47909	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:48%20GMT	https://colorlib.com//polygon/admindek/default/dashboard-analytics.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dashboard-analytics.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:34	44461/44461	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/menu-static.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/menu-static.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:35	43932/43932	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:18%20GMT	https://colorlib.com//polygon/admindek/default/menu-header-fixed.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/menu-header-fixed.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:35	44256/44256	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:17%20GMT	https://colorlib.com//polygon/admindek/default/menu-compact.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/menu-compact.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:35	43891/43891	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:19%20GMT	https://colorlib.com//polygon/admindek/default/menu-sidebar.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/menu-sidebar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
